timestamp,latitude,longitude
1442952406,32.882490,-117.234601
1442952467,32.882471,-117.234592
1442952527,32.882479,-117.234592
1442952587,32.882484,-117.234603
1442952647,32.882483,-117.234572
1442952707,32.882487,-117.234582
1442952767,32.882483,-117.234563
1442952827,32.882477,-117.234564
1442952887,32.882469,-117.234564
1442952947,32.882479,-117.234583
1442953007,32.882477,-117.234594
1442953067,32.882477,-117.234594
1442953127,32.882482,-117.234574
1442953187,32.882482,-117.234574
1442953247,32.882484,-117.234585
1442953307,32.882468,-117.234597
1442953367,32.882507,-117.234610
1442953427,32.882507,-117.234610
1442953487,32.882507,-117.234593
1442953547,32.882472,-117.234589
1442953607,32.882497,-117.234593
1442953667,32.882484,-117.234704
1442953727,32.882486,-117.234567
1442953787,32.882490,-117.234750
1442953847,32.882541,-117.234726
1442953907,32.882727,-117.235470
1442953967,32.883131,-117.237091
1442954027,32.883431,-117.238002
1442954087,32.883466,-117.238960
1442954147,32.883485,-117.239926
1442954207,32.882811,-117.240705
1442954267,32.880337,-117.240748
1442954327,32.878295,-117.240304
1442954387,32.876112,-117.240830
1442954447,32.875928,-117.240814
1442954507,32.875771,-117.241133
1442954567,32.875772,-117.241194
1442954627,32.875777,-117.241127
1442954687,32.875722,-117.241173
1442954747,32.875970,-117.241208
1442954807,32.875966,-117.241369
1442954867,32.875895,-117.241116
1442954927,32.875969,-117.241374
1442954987,32.875972,-117.241282
1442955047,32.875973,-117.241264
1442955107,32.875972,-117.241339
1442955167,32.875980,-117.241201
1442955227,32.875974,-117.241261
1442955287,32.875975,-117.241250
1442955347,32.875970,-117.241327
1442955407,32.875973,-117.241267
1442955467,32.875971,-117.241307
1442955527,32.875974,-117.241260
1442955587,32.875972,-117.241282
1442955647,32.875973,-117.241250
1442955707,32.875978,-117.241328
1442955767,32.875980,-117.241240
1442955827,32.875972,-117.241259
1442955887,32.875974,-117.241260
1442955947,32.875976,-117.241245
1442956007,32.875972,-117.241276
1442956067,32.875971,-117.241283
1442956127,32.875972,-117.241279
1442956187,32.875971,-117.241286
1442956247,32.875976,-117.241239
1442956307,32.875972,-117.241243
1442956367,32.875975,-117.241277
1442956427,32.875973,-117.241284
1442956487,32.875974,-117.241262
1442956547,32.875970,-117.241301
1442956607,32.875973,-117.241262
1442956667,32.875976,-117.241252
1442956727,32.875973,-117.241272
1442956787,32.875977,-117.241251
