timestamp,latitude,longitude
1438378685,32.882170,-117.235015
1438378740,32.882155,-117.235023
1438378818,32.882158,-117.235021
1438378849,32.882158,-117.235030
1438378934,32.882142,-117.235035
1438378980,32.882142,-117.235035
1438379029,32.882157,-117.235027
1438379114,32.882159,-117.235029
1438379160,32.882176,-117.235014
1438379250,32.882225,-117.234927
1438379280,32.882213,-117.234944
1438379340,32.882237,-117.234925
1438379400,32.882230,-117.234941
1438379449,32.882229,-117.234961
1438379530,32.882223,-117.234974
1438379569,32.882180,-117.234993
1438379629,32.882180,-117.234993
1438379708,32.882210,-117.234999
1438379812,32.882267,-117.234923
1438379869,32.882270,-117.234920
1438379940,32.882197,-117.234969
1438380000,32.882174,-117.235007
1438380060,32.882254,-117.234931
1438380125,32.882242,-117.234882
1438380201,32.882239,-117.234890
1438380256,32.882291,-117.234901
1438380300,32.882186,-117.234965
1438380381,32.882145,-117.235006
1438380409,32.882178,-117.234991
1438380493,32.882200,-117.234991
1438380541,32.882206,-117.234985
1438380617,32.882193,-117.234993
1438380660,32.882253,-117.234948
1438380709,32.882253,-117.234948
1438380788,32.882280,-117.234936
1438380845,32.882258,-117.234952
1438380900,32.882195,-117.234983
1438380960,32.882205,-117.234948
1438381021,32.882228,-117.234919
1438381080,32.882228,-117.234919
1438381139,32.882188,-117.234972
1438381200,32.882182,-117.234982
1438381276,32.882218,-117.234942
1438381320,32.882261,-117.234940
1438381404,32.882272,-117.234947
1438381466,32.882171,-117.235001
1438381513,32.882174,-117.235004
1438381565,32.882183,-117.235007
1438381620,32.882241,-117.234952
1438381680,32.882241,-117.234952
1438381729,32.882184,-117.234988
1438381808,32.882210,-117.234963
1438381860,32.882235,-117.234949
1438381939,32.882239,-117.234944
1438382000,32.882237,-117.234947
1438382040,32.882187,-117.234971
1438382100,32.882182,-117.234974
1438382160,32.882183,-117.234982
1438382220,32.882173,-117.234987
1438382281,32.882150,-117.235029
1438382340,32.882161,-117.234995
1438382400,32.882178,-117.235008
1438382460,32.882179,-117.235009
1438382509,32.882203,-117.234979
1438382598,32.882204,-117.234949
1438382640,32.882204,-117.234949
